class1	class2	class3
-0.7630113199194422	-0.36482546672607974	0.12386353993916555
-0.20224492828106178	-0.6314436599429623	-0.16612301892148784
0.11801481298797589	-0.8026307315547563	-0.32055874319286426
-0.9078085547540482	-0.123954776029162	0.02199788645113665
-0.011161920989201046	-0.2791347463581998	-0.7188921392296316
-0.6048726984511159	-0.34730508982559305	-0.05859015620693908
0.022834912399187668	-0.2450646741914646	-0.7911199844052004
-0.6107687645088282	0.18264917133489333	-0.5719936262353402
-0.37572754288995336	-0.2405951629963921	-0.3893369416234843
-0.47017411074378446	-0.25745136065542285	-0.2751083915962047
-0.42224234355261636	-0.30270719443375926	-0.27995197302056307
-0.33558669901004423	-0.7030665025718041	0.025301779915366196
-0.227239292266192	-0.6406225758274734	-0.13456902204024968
-0.07856729439411692	-0.4635401651976808	-0.4591836400541831
-0.5338336090092535	-0.26531830361812553	-0.2002383170080685
0.12163661937818193	-0.5670635289593958	-0.5698098532232696
-0.7135694695204944	-0.04226738229343696	-0.24297127506980443
-0.5511151131658834	-0.13784913055746428	-0.3137059470124216
0.37991330515073246	-0.9967330187256914	-0.3909096408798889
-0.11107635414259409	-0.9134946151611122	0.031291667005717616
-0.7071371226357577	-0.06436532658539595	-0.21423788128219423
-0.0239267501290108	-0.4590649560533023	-0.5192268428514402
-0.25045747389974604	-0.8008612334926557	0.041213384997633384
0.12675547286662464	-0.7098565906171976	-0.41072849393554
-0.6821040244572243	-0.2073502103617017	-0.12051204190096187
-0.08001794881332236	-0.36698232212417925	-0.5770489165888335
-0.032593412790154486	-0.11598950302183098	-0.8649306612178713
-0.04953425273256895	-0.7361127551968509	-0.2168240926859526
-0.12974835104875826	-0.3767625795589814	-0.4999747556777212
-0.1929929880945036	-0.710783408247478	-0.11058010661765527
-0.3619767993776293	-0.41408366948858333	-0.22759345045666513
-0.2281863898270099	-0.7897194198294548	0.020467226306748798
-0.06196433436942128	-0.4761703736072776	-0.4537955703013242
-0.5245506056873634	-0.4650739185014983	-0.0037563101497506413
-0.40026409400862584	-0.7147022063666745	0.10106560905196449
-0.3505658504499184	-0.3112508329124715	-0.34020064509981285
-0.05770138945406389	-0.5138896816599766	-0.4177650177211001
-1.1190750081573835	-0.007419300886242874	0.1296762480559236
0.1959936586105292	-0.6577348915552557	-0.5461037743895454
-0.04299172109353433	-0.6004971803729894	-0.35901924242243544
-0.4810826913987054	-0.2191884946788739	-0.30065046700728626
0.17418850318026402	-1.0107504047759042	-0.18126099899621972
-0.41416456494820464	-0.6004496072613534	0.008563929288804895
-0.010535132278680748	-0.7579771045422122	-0.22922470184056898
0.016453546101096173	-0.8155242110028137	-0.20392520216674237
-0.1193218072579767	-0.8478747064176893	-0.05831557392615394
-0.7081719866307872	-0.2863325972807726	-0.011860865951094035
-0.7730340052225879	-0.4322820329547479	0.2132643461709257
-0.6148961342810426	-0.1506011934228677	-0.23302032878304113
-0.963347743566225	-0.6280488103656078	0.5842320057186948
-0.31037723482832424	-0.29572764493517206	-0.394042584663036
-0.3195265698099833	-0.3463865279746938	-0.32086130766699605
-0.3530641706820241	-0.6691775202948094	0.007675213665864655
0.12127427498308146	-0.6248345495699502	-0.5055042723033352
-0.6643231028327095	-0.11456775485403592	-0.2129873896621246
-0.5514977823299185	-0.3485534645785504	-0.10551977131873724
-0.5569514596323943	-0.13384037817224015	-0.30613086005188195
-0.411114466823189	-0.5248776512376045	-0.07455312933482217
-0.49463336070302355	-0.23331763319317522	-0.2780228438279636
0.06910059434013471	-0.8544853075545811	-0.2166287713656596
-0.23036783830668695	-0.48759986743174494	-0.2831765681245142
0.30342284893527904	-0.8339207553746351	-0.47754830584765107
0.17642851645262525	-0.8159793517703734	-0.37554520396901114
-0.19061550485233936	-0.7082629490662271	-0.10238744281096357
-0.4291041332450518	-0.39894363646981984	-0.16937449877129063
-0.6775956254848283	0.09194626401603723	-0.399578895416689
-0.3295881119357911	-0.5657257650871674	-0.12075396115759596
-0.9711954331151753	-0.4648496493573867	0.41477557217696714
0.020881676720081288	-0.5691294686248364	-0.44616888255150455
-0.08177304696587062	-0.5611944954543298	-0.352293431807152
-0.4146696213451623	-0.6370585599969255	0.04838687987262358
-0.304362282501053	-0.08425377646789389	-0.6186469426651264
0.18869727386071783	-0.8879585993557715	-0.2971307677521534
0.24966175259835777	-0.8050751732374184	-0.44324457261545713
-0.399804759008612	-0.29016769167376133	-0.30413406209503124
